# Copyright (c) 2016 CJKVI Database
GHZR42104.04	⿰扌⿸𢉖糸
GHZR42127.10	⿰牛⿱匇寸
GHZR42132.05	⿱𥾸牛
GHZR42140.03	⿺毛由
GHZR42140.20	⿺毛召
GHZR42142.09	⿺毛孛
GHZR42142.14	⿺毛来
GHZR42143.06	⿺毛寽
GHZR42143.08	⿺毛孚
GHZR42143.10	⿺毛言
GHZR42144.14	⿺毛㝵
GHZR42145.11	⿺毛卒
GHZR42145.15	⿰咅毛
GHZR42146.11	⿰垔毛
GHZR42147.02	⿱⿰禾刀⿸厂毛
GHZR42147.22	⿺毛馬
GHZR42148.05	⿱勑毛
GHZR42148.08	⿰辱毛
GHZR42149.15	⿰⿱羽夬毛
GHZR42150.02	⿱⿰来攵毛
GHZR42150.11	⿰盖毛
GHZR42153.06	⿱亦毳
GHZR42153.09	⿺毛寧
GHZR42153.13	⿰韯毛
GHZR42154.01	⿰聶毛
GHZR42169.02	⿰斤卞
GHZR42172.11	⿰⿱日匀斤
GHZR42172.16	⿰⿸尸市斤
GHZR42172.20	⿰⿱⿰⿱⺊日丨厂斤
GHZR42173.02	⿰荳斤
GHZR42174.02	⿰⿳止八⿻土丷斤
GHZR42174.09	⿰⿱𣥜止斤
GHZR42174.28	⿰⿱⿰夕口亞斤
GHZR42178.02	⿺爪𢆰
GHZR42178.04	⿰片爪
GHZR42180.06	⿺爪𪠲
GHZR42184.09	⿳爫乛𥤬
GHZR42184.13	⿰⿴囗𢦙爪
GHZR42184.29	⿰⿱爫幸夬
GHZR42198.04	⿰月𡯂
GHZR42200.02	⿱⿹勹又月
GHZR42201.06	⿰月冗
GHZR42205.04	⿰月弍
GHZR42225.03	⿰月𭟯
GHZR42225.08	⿰月𡉵
GHZR42229.11	⿰月犾
GHZR42238.11	⿰月㘴
GHZR42245.07	⿰月荀
GHZR42247.06	⿰月⿱𠀐月
GHZR42250.06	⿰𧦗又
GHZR42251.13	⿰月叜
GHZR42252.05	⿰月凾
GHZR42253.04	⿰月𦰧
GHZR42254.03	⿰月䎡
GHZR42256.01	⿰月斊
GHZR42258.08	⿰月⿱矛示
GHZR42259.08	⿰月𭝠
GHZR42259.11	⿰月⿱雨巳
GHZR42259.12	⿰月𠁅
GHZR42261.01	⿰月𭦌
GHZR42261.08	⿰月章
GHZR42262.04	⿰月⿱彐⿺𠃊豕
GHZR42262.05	⿰月⿱彐⿰𢁟又
GHZR42262.07	⿰月随
GHZR42266.08	⿰月⿳𠂊罒犮
GHZR42268.01	⿰月焱
GHZR42268.10	⿰月⿱𠚪𣥖
GHZR42269.03	⿰月蒲
GHZR42270.04	⿰月𥇡
GHZR42274.03	⿰有堯
GHZR42275.10	⿱津𦙃
GHZR42276.10	⿰月⿵門⿱𠂊旧
GHZR42276.20	⿰月㢘
GHZR42279.02	⿰月𮥿
GHZR42279.03	⿰月褱
GHZR42280.02	⿰月⿱羽隻
GHZR42283.09	⿰月纍
GHZR42285.06	⿰云民
GHZR42285.07	⿱氏手
GHZR42285.10	⿱央民
GHZR42289.08	⿰卆欠
GHZR42290.16	⿰囙欠
GHZR42293.12	⿰⿳士冖厶欠
GHZR42297.03	⿰⿳⺊目一欠
GHZR42299.08	⿰⿱上米欠
GHZR42300.08	⿰⿱人镸欠
GHZR42300.12	⿰𤔄欠
GHZR42301.01	⿰娄欠
GHZR42301.08	⿰⿱龶回欠
GHZR42302.03	⿰𭥭欠
GHZR42305.05	⿰⿱合𠕁欠
GHZR42306.14	⿰壴𬅟
GHZR42307.11	⿰⿳𣱵一回欠
GHZR42318.03	⿰⿱交小殳
GHZR42318.05	⿰軍殳
GHZR42321.10	⿰⿳士冖麦殳
GHZR42322.04	⿰壺殳
GHZR42324.02	⿰⿳士冖⿱口𠕁殳
