# Copyright (c) 2014-2015 CJKVI Database
GZ-0432202	⿰火却
GZ-0432203	⿰火破
GZ-0441101	⿰冇冇
GZ-0441402	⿰空表
GZ-0442504	⿰火仇
GZ-0481501	⿰口使
GZ-0501201	⿰𠬶也
GZ-0502201	⿰𧾷𠬶
GZ-0512301	⿰虫曾
GZ-0521501	⿰冫曾
GZ-0531201	⿱穴𠬶
GZ-0542201	⿰早受
GZ-0542202	⿰日早
GZ-0552201	⿰米仇
GZ-0552204	⿰米受
GZ-0552207	⿰米九
GZ-0561501	⿰衤查
GZ-0571201	⿰再又
GZ-0571601	⿰㐅等
GZ-0571602	⿰亻下
GZ-0572101	⿰杀光
GZ-0581202	⿰口三
GZ-0581203	⿰口叁
GZ-0581206	⿺辶三
GZ-0592301	⿴囗仓
GZ-0602101	⿻二刀
GZ-0621302	⿰氵杀
GZ-0621501	⿰出杀
GZ-0631103	⿰石招
GZ-0632401	⿰金早
GZ-0642603	⿰火煮
GZ-0651101	⿰買主
GZ-0651103	⿰主买
GZ-0651113	⿰買志
GZ-0651702	⿰刀杀
GZ-0651711	⿰刀叉
GZ-0661202	⿱火車
GZ-0662102	⿰米借
GZ-0682101	⿰冫常
GZ-0701401	⿰米出
GZ-0711101	⿰山三
GZ-0732101	⿰字之
GZ-0741201	⿰月止
GZ-0742401	⿰火尺
GZ-0751301	⿰目針
GZ-0751302	⿰目甚
GZ-0752601	⿰春穿
GZ-0761401	⿰子青
GZ-0762401	⿰曾才
GZ-0772202	⿰卒炎
GZ-0792304	⿰米食
GZ-0802201	⿱作入
GZ-0802301	⿰魚着
GZ-0802501	⿰火𠬶
GZ-0802601	⿰扌审
GZ-0822101	⿰日作
GZ-0822107	⿰冫虫
GZ-0831401	⿰字助
GZ-0841101	⿱初心
GZ-0841201	⿱竹脚
GZ-0841402	⿱上足
GZ-0851201	⿱双木
GZ-0851301	⿰衤常
GZ-0871101	⿰手寿
GZ-0871117	⿰手收
GZ-0871118	⿰手丑
GZ-0871202	⿰亻着
GZ-0872201	⿺辶兄
GZ-0872501	⿰方中
GZ-0882601	⿰土足
GZ-0891101	⿰米足
GZ-0902401	⿰火尉
GZ-0912203	⿰丁争
GZ-0931101	⿰岳大
GZ-0931202	⿰目大
GZ-0942202	⿰布弟
GZ-0942404	⿰口体
GZ-0942405	⿰氵体
GZ-0951203	⿰扌𢛳
GZ-0951302	⿰虫得
GZ-0951306	⿰虫德
GZ-0962301	⿱丁灬
GZ-0971304	⿺辶唐
GZ-0971307	⿱丁⿰丁丁
GZ-0981301	⿰𧾷当
GZ-1001402	⿰月介
GZ-1001405	⿰月个
GZ-1001411	⿱𠔉至
GZ-1002301	⿰衤吞
GZ-1002303	⿰穿吞
GZ-1002309	⿰衤等
GZ-1002402	⿰石吞
GZ-1002404	⿰土吞
GZ-1012401	⿰米帝
GZ-1012503	⿰刀弟
GZ-1021101	⿰刀七
GZ-1021103	⿰刀吉
GZ-1021302	⿰犭斗
GZ-1022101	⿰車豆
GZ-1022301	⿰火豆
GZ-1031403	⿰夂豆
GZ-1051101	⿰量托
GZ-1051303	⿰氵他
GZ-1051306	⿰氵打
GZ-1052405	⿰女呆
GZ-1081101	⿱竹托
GZ-1081301	⿰日托
GZ-1081302	⿰火則
GZ-1092101	⿰口党
GZ-1092201	⿰氵当
GZ-1101301	⿰当丁
GZ-1141303	⿰山达
GZ-1141402	⿰刀达
GZ-1162201	⿰日大
GZ-1162501	⿰石大
GZ-1171501	⿰亻爹
GZ-1181302	⿱土也
GZ-1182301	⿱列失
GZ-1192101	⿱竹垫
GZ-1192301	⿰中丁
GZ-1202502	⿱被田
GZ-1211201	⿰等枼
GZ-1211203	⿰𧾷爹
GZ-1211204	⿰等社
GZ-1211205	⿰土爹
GZ-1221101	⿺辶条
GZ-1221202	⿰月車
GZ-1221302	⿰火迪
GZ-1231101	⿱得土
GZ-1231103	⿱地方
GZ-1241201	⿰米段
GZ-1252506	⿰𧾷⿱癶丁
GZ-1271201	⿱足丁
GZ-1272201	⿰半亭
GZ-1272401	⿰矢丁
GZ-1301301	⿱独下
GZ-1301309	⿰落乍
GZ-1301312	⿰扌落
GZ-1302101	⿱托下
GZ-1302201	⿸疒独
GZ-1302402	⿰下覃
GZ-1302403	⿰土畓
GZ-1311101	⿰甬东
GZ-1321101	⿱𠆢同
GZ-1342401	⿱独木
GZ-1342402	⿰扌恶
GZ-1351304	⿰公断
GZ-1361402	⿰扌端
GZ-1362301	⿰虫度
GZ-1362302	⿰虫兔
GZ-1371401	⿰同多
GZ-1372204	⿰口夺
GZ-1372401	⿰亻斗
GZ-1372504	⿵门土
GZ-1381201	⿰𧾷头
GZ-1382301	⿰乇人
GZ-1391301	⿰刀屠
GZ-1402201	⿰矢耑
GZ-1411103	⿰口断
GZ-1412102	⿱艹独
GZ-1412401	⿰土豆
GZ-1421503	⿰扌独
GZ-1421504	⿰扌毒
GZ-1421505	⿰独包
GZ-1422102	⿱竹竹
GZ-1431201	⿰氵⿱丁⿰丁丁
GZ-1441101	⿰扌肚
GZ-1442303	⿰口端
GZ-1442305	⿰口沗
GZ-1481101	⿰子英
GZ-1491106	⿱幼土
GZ-1501105	⿱宀法
GZ-1501106	⿱宀巴
GZ-1501302	⿰口发
GZ-1501502	⿰布发
GZ-1502101	⿰扌法
GZ-1511101	⿱伏刀
GZ-1511302	⿰豆克
GZ-1512104	⿰禾文
GZ-1512301	⿰米方
GZ-1512302	⿰米房
GZ-1521103	⿰笨灰
GZ-1521501	⿰牙文
GZ-1522101	⿰刀文
GZ-1522403	⿰米木
GZ-1531205	⿰木发
GZ-1531209	⿰刀伐
GZ-1531301	⿰土哉
GZ-1532103	⿰糸歪
GZ-1541407	⿰番塊
GZ-1542209	⿱邦鬼
GZ-1542213	⿰房方
GZ-1561402	⿰法夭
GZ-1562402	⿹飞去
GZ-1571404	⿱肥火
GZ-1571412	⿰火肥
GZ-1571413	⿱微火
GZ-1571419	⿰巾灰
GZ-1571501	⿱雨火
GZ-1572101	⿰口斥
GZ-1581301	⿰半方
GZ-1581302	⿰方半
GZ-1611201	⿰貝夫
GZ-1611302	⿰付武
GZ-1611501	⿱孚灬
GZ-1621301	⿰黑分
GZ-1622201	⿰忽复
GZ-1631101	⿺毛弗
GZ-1631203	⿱口欢
GZ-1631207	⿰口欢
GZ-1631401	⿰勿斤
GZ-1632201	⿱弗云
GZ-1632206	⿱府云
GZ-1632209	⿰云此
GZ-1632212	⿱雨武
GZ-1632305	⿱天雨
GZ-1632402	⿰香定
GZ-1641201	⿰手逢
GZ-1641206	⿰𧾷手
GZ-1642303	⿰荒無
GZ-1651301	⿰𧾷卡
GZ-1652401	⿰鳥几
GZ-1661101	⿰手合
GZ-1671109	⿵門苦
GZ-1671406	⿰手今
GZ-1672401	⿰亻近
GZ-1692505	⿰扌近
GZ-1701501	⿰手着
GZ-1711101	⿰冫吉
GZ-1712501	⿰角勾
GZ-1721203	⿰木芶
GZ-1721501	⿰米叩
GZ-1721503	⿰米卩
GZ-1722101	⿱叩入
GZ-1722501	⿰看九
GZ-1722503	⿰苟九
GZ-1731201	⿰叩多
GZ-1732101	⿰扌起
GZ-1741407	⿰开卖
GZ-1752101	⿰杀卡
GZ-1752104	⿰刀卡
GZ-1752105	⿰卡杀
GZ-1752107	⿰卡刂
GZ-1752108	⿰刀架
GZ-1752111	⿰杀个
GZ-1752501	⿰目甘
GZ-1761301	⿱山敢
GZ-1762403	⿰缶更
GZ-1771303	⿰扌岗
GZ-1772312	⿰口降
