JTB03E	⿳宀𤥖貝
JTB040	⿰爿𪧷
JTB043	⿳彐⿰工几寸
JTB047	⿰甚寸
JTB048	⿺⿳𠂊田儿寸
JTB057	⿸尸⿰扌
JTB05BS	⿸尸夏
JTB05C	⿸尸⿱⿻儿⿰二二半
JTB05D	⿳山𠆢刀
JTB05E	⿰山又
JTB061	⿱山久
JTB067	⿱山𫝆
JTB068	⿰山旦
JTB06A	⿰山𢆉
JTB073	⿳山口可
JTB077	⿰山昇
JTB078	⿰山幸
JTB07D	⿱山島
JTB082	⿰山⿳士⿱乛一吋
JTB083S	⿱山⿸厂⿰又
JTB084	⿱山⿸厂⿰又
JTB086	⿱山椎
JTB087	⿱山𠪚
JTB08BS	⿳山吅⿸耳攵
JTB08CS	⿳山𠪚
JTB090	⿱山藏
JTB091	⿳山𠪚
JTB09B	⿰臣己
JTB0A0	⿱彐巾
JTB0A1	⿸𠂋巾
JTB0A3	⿰巾台
JTB0A6	⿰巾令
JTB0B4	⿰巾昜
JTB0B5S	⿰巾⿱白勿
JTB0B6	⿰巾眞
JTB0BA	⿱⿰⿱⺍冋攵巾
JTB0C6	⿸广几
JTB0C7	⿸广子
JTB0C8	⿸广殳
JTB0CB	⿸广甬
JTB0CF	⿸广⿱㕥土
JTB0D6	⿸广⿱？匆
JTB0D8	⿸广⿺丶
JTB0E6	⿸广𧴹
JTB0E7	⿸广𢽐
JTB0EB	⿸广粦
JTB0EFS	⿸广⿱北⿰⿱又𠄌㕛
JTB0F0	⿸广⿰𦚏⿱匕匕
JTB0F1S	⿸麻去
JTB0F4	⿸䧹髙
JTB104	⿻二弋
JTB105	⿹弋晋
JTB108	⿰弓斥
JTB10C	⿰弓吉
JTB10D	⿰弓名
JTB110S	⿰弓⿱一⿻丷冉
JTB111	⿰弓⿳丿⺌冉
JTB113	⿰弓⿳一⺌用
JTB114	⿰弓⿳一丷⿻丨月
JTB115	⿰弓⿻丨⿳一八月
JTB117S	⿰弓勃
JTB118	⿰弓前
JTB119S	⿲弓孛弓
JTB11B	⿰弓⿻帀㸚
JTB11C	⿰弓⿱前刃
JTB11F	⿰畺
JTB121	⿱彐卯
JTB124	⿳？冖果
JTB128S	⿸产久
JTB12B	⿰彳𠀄
JTB12C	⿰彳𠀄
JTB12E	⿰彳予
JTB130S	⿰彳⿱䒑乂
JTB131	⿰彳耒
JTB133	⿰彳⿸厂目
JTB138	⿰彳⿱爫夫
JTB13A	⿰彳⿱从𤴓
JTB13E	⿰彳⿳士罒心
JTB140	⿰彳敞
JTB141	⿲彳𦚏攵
JTB144	⿰彳頝
JTB145	⿰彳頶
JTB148	⿰忄五
JTB14B	⿰忄五
JTB150	⿱龷心
JTB151	⿱𠫓心
JTB156	⿰忄皿
JTB15AS	⿳土八㣺
JTB15C	⿰忄刕
JTB163	⿱𠔉㣺
JTB165	⿱𠔉㣺
JTB169	⿰忄兵
JTB16B	⿰忄辛
JTB16D	⿱君心
JTB16E	⿳𠮷一心
JTB171	⿱⿰女欠心
JTB17ES	⿰忄杲
JTB183	⿰夫念
JTB184	⿱波心
JTB192S	⿸厚心
JTB193	⿺惠丶
JTB194	⿱⿲丰丿丰心
JTB19C	⿰忄⿳大日小
JTB19E	⿱⿰臣巳心
JTB19F	⿱爫⿳冖必夂
JTB1A3S	⿰忄⿻⿱𠂉一隹
JTB1A9S	⿳玨彐心
JTB1AB	⿱⿰昌大心
JTB1AC	⿰忄尊
JTB1B1	⿱⿰臣台心
JTB1B2	⿱㮊心
JTB1B7	⿰忄䝉
JTB1B8	⿰忄䝉
JTB1BAS	⿰忄⿳文冖見
JTB1BB	⿱⿲幺言幺心
JTB1C7	⿹戈一
JTB1CB	⿻䒑戊
JTB1CC	⿱丷⿸厂戈
JTB1CF	⿰冫⿱丷⿵戊㠯
JTB1DA	
